" Cloud Service Provider"," Cloud Service Offering"," Type"," Leveraged A T O"," Authorization Date"," Agency"," Subagency"," Independent Assessor"
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Defense,United States Army,
Project Hosts,Federal Private Cloud,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
Avue Technologies,Avue Digital Services,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
TRAPWIRE,TRAPWIRE Threat Detection and Analysis System,Agency,No,01/11/2018,Department of Defense,,SecureIT
ORock Technologies,ORockCloud,Agency,No,12/19/2018,Department of Defense,,"Schellman & Company, LLC"
ORock Technologies,ORockCloud,Agency,Yes,,Department of Defense,Joint Communications Support Element,
Navman Wireless North America Ltd.,Teletrac Navman DIRECTOR,JAB,Yes,,Department of Defense,United States Air Force,
IT-CNP,GovDataHosting Cloud Platform,JAB,Yes,,Department of Defense,Defense Health Agency,
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Department of Defense,Department of the Navy,
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,Yes,,Department of Defense,Defense Acquisition University,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Defense,United States Africa Command,
"Palo Alto Networks, Inc.",Palo Alto Networks Government Cloud Services - WildFire,Agency,No,03/27/2019,Department of Defense,,Kratos
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Defense,United States Army,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,No,09/12/2019,Department of Defense,,"Schellman & Company, LLC"
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Defense,,
United States Department of Agriculture,USDA Digital Infrastructure Services Center,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
QuestionMark,Questionmark OnDemand for Government,Agency,Yes,,Department of Defense,United States Air Force,
IBM,SmartCloud for Government,JAB,Yes,,Department of Defense,Defense Information Systems Agency,
Oracle,Fusion Cloud,Agency,Yes,,Department of Defense,United States Army,
Oracle,Oracle Cloud Infrastructure-Government Cloud,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Defense,Defense Information Systems Agency,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Secure Node with SuccessFactors Suite - DoD,Agency,No,05/18/2020,Department of Defense,,"Coalfire Systems, Inc."
SAP National Security Services Inc. (SAP NS2),SAP NS2 Secure Node with SuccessFactors Suite - DoD,Agency,Yes,,Department of Defense,Department of the Navy,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Secure Node with SuccessFactors Suite - DoD,Agency,Yes,,Department of Defense,North American Aerospace Defense Command & United States Northern Command,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Secure Node with SuccessFactors Suite - DoD,Agency,Yes,,Department of Defense,Defense Logistics Agency,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Secure Node with SuccessFactors Suite - DoD,Agency,Yes,,Department of Defense,Missile Defense Agency,
Cisco Systems Inc.,Cisco Unified Communications Manager Cloud for Government (Cisco UCM Cloud for Government),Agency,Yes,,Department of Defense,Defense Information Systems Agency,
"R&K Solutions, Inc",GoRPM,Agency,No,06/14/2020,Department of Defense,,"Schellman & Company, LLC"
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Department of Defense,United States Air Force,
United States Department of the Treasury,Workplace.gov Community Cloud (WC2),Agency,Yes,,Department of Defense,Defense Information Systems Agency,
mLINQS,mLINQS Hosting Service,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,Yes,,Department of Defense,Defense Information Systems Agency,
Blackboard,Blackboard Learn SaaS,Agency,No,09/15/2020,Department of Defense,,"A-LIGN Compliance and Security, Inc. dba A-LIGN"
Oracle,Aconex Collaboration Platform for Project Information and Process Management,Agency,No,,Department of Defense,,"Coalfire Systems, Inc."
Zscaler,Zscaler Internet Access – Government (Secure Web Gateway – vTIC) - High,Agency,No,,Department of Defense,,"Schellman & Company, LLC"
Akamai,Content Delivery Services,JAB,Yes,,Department of Education,Federal Student Aid,
Akamai,Content Delivery Services,JAB,Yes,,Department of Education,,
CGI Federal,CGI IaaS Cloud,JAB,Yes,,Department of Education,,
Appian,Appian Cloud,Agency,Yes,,Department of Education,,
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,Department of Education,,
MicroPact,MicroPact Product Suite,Agency,Yes,,Department of Education,,
Oracle,Oracle Service Cloud,JAB,Yes,,Department of Education,Federal Student Aid,
MAXIMUS Inc.,MAXIMUS Cloud,JAB,Yes,,Department of Education,Federal Student Aid,
Amazon,AWS GovCloud,JAB,Yes,,Department of Education,,
AirWatch,Airwatch by VMware Government Services (AGS),Agency,Yes,,Department of Education,,
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,Yes,,Department of Education,Federal Student Aid,
NICE inContact,NICE inContact CXone Customer Experience Platform,Agency,Yes,,Department of Education,Federal Student Aid,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Education,,
Amazon,AWS US East/West,JAB,Yes,,Department of Education,,
Amazon,AWS US East/West,JAB,Yes,,Department of Education,Federal Student Aid,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Education,,
"CrowdStrike, Inc.",Falcon Platform,Agency,Yes,,Department of Education,Federal Student Aid,
Acquia Inc.,Acquia Cloud,Agency,Yes,,Department of Education,,
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Department of Education,Federal Student Aid,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Education,,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Education,,
Splunk,Splunk Cloud,Agency,Yes,,Department of Education,,
"VMware, Inc.",Workspace ONE,Agency,Yes,,Department of Education,,
IBM,SmartCloud for Government,JAB,Yes,,Department of Education,,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Education,Federal Student Aid,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Education,,
Oracle,Taleo Cloud - U.S. Government Cloud,Agency,Yes,,Department of Education,,
Software AG Government Solutions,Software AG Government Cloud,Agency,No,05/20/2020,Department of Education,,Kratos
AINS,eCase,Agency,Yes,,Department of Education,,
AINS,eCase,Agency,Yes,,Department of Education,DoED Office of the Inspector General,
Akamai,Content Delivery Services,JAB,Yes,,Department of Energy,,
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,Yes,,Department of Energy,,
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Amazon,AWS GovCloud,JAB,Yes,,Department of Energy,,
Amazon,AWS GovCloud,JAB,Yes,,Department of Energy,National Nuclear Security Administration,
Amazon,AWS GovCloud,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
Amazon,AWS GovCloud,JAB,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Amazon,AWS GovCloud,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Kansas City Field Office,
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Energy,Energy Information Administration,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Nevada Field Office,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Mission Support Alliance,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Kansas City Field Office,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Energy,Los Alamos National Laboratory,
Amazon,AWS US East/West,JAB,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Amazon,AWS US East/West,JAB,Yes,,Department of Energy,National Renewable Energy Laboratory,
Amazon,AWS US East/West,JAB,Yes,,Department of Energy,Energy Information Administration,
Amazon,AWS US East/West,JAB,Yes,,Department of Energy,National Nuclear Security Administration,
Amazon,AWS US East/West,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,Yes,,Department of Energy,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Energy,Southwestern Power Administration,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Energy,,
Project Hosts,Federal Private Cloud,Agency,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Esri,ArcGIS Online (AGO),Agency,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Qualtrics,Qualtrics XM Platform,Agency,Yes,,Department of Energy,,
Qualtrics,Qualtrics XM Platform,Agency,Yes,,Department of Energy,,
Everbridge,Everbridge Suite,Agency,Yes,,Department of Energy,Los Alamos National Laboratory,
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Department of Energy,Federal Energy Regulatory Commission,
"CrowdStrike, Inc.",Falcon Platform,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
"Distributed Solutions, Inc.",AEON,Agency,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Accenture Federal Services,Accenture Federal Cloud ERP,Agency,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Energy,Los Alamos National Laboratory,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Energy,,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Kansas City Field Office,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
"Palo Alto Networks, Inc.",Palo Alto Networks Government Cloud Services - WildFire,Agency,Yes,,Department of Energy,,
"Palo Alto Networks, Inc.",Palo Alto Networks Government Cloud Services - WildFire,Agency,Yes,,Department of Energy,Bonneville Power Administration,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Energy,Oak Ridge National Laboratory,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Energy,Southwestern Power Administration,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Energy,,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Energy,Federal Energy Regulatory Commission,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Energy,National Nuclear Security Administration / Nevada Field Office,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Nevada Field Office,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Energy,,
Workiva,Wdesk,Agency,Yes,,Department of Energy,,
"KnowBe4, Inc.",KnowBe4 Security Awareness Training,Agency,No,09/30/2019,Department of Energy,,"Coalfire Systems, Inc."
Duo Security,Duo Access,Agency,No,08/16/2019,Department of Energy,,"Coalfire Systems, Inc."
PowerTrain Inc.,Web Development and Hosting,Agency,Yes,,Department of Energy,,
Oracle,Fusion Cloud,Agency,No,10/16/2019,Department of Energy,,"Coalfire Systems, Inc."
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Energy,Federal Energy Regulatory Commission,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,
McAfee,MVISION Cloud,JAB,Yes,,Department of Energy,Idaho Operations Office,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of Energy,,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Nevada Field Office,
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of Energy,National Nuclear Security Administration / Kansas City Field Office,
"Galvanize, Inc.",HighBond,Agency,No,07/17/2020,Department of Energy,,Linford & Company
Contegix,SecureCloud,Agency,No,07/21/2020,Department of Energy,,"A-LIGN Compliance and Security, Inc. dba A-LIGN"
Google,Google G Suite,Agency,Yes,,Department of Energy,Los Alamos National Laboratory,
AvePoint Inc.,AvePoint Online Services for US Government (AOS-USG),Agency,No,,Department of Energy,,"Lunarline, Inc."
Code42 Software Inc.,Code42 Gov,Agency,No,,Department of Energy,,Deloitte & Touche LLP
Forcepoint,Forcepoint Dynamic Cloud Solutions for CASB,Agency,No,,Department of Energy,,"Coalfire Systems, Inc."
Rave Mobile Safety,Rave Alert,Agency,No,,Department of Energy,,"A-LIGN Compliance and Security, Inc. dba A-LIGN"
"Recovery Point Systems, Inc.",INCloud Gov,Agency,No,,Department of Energy,,SecureIT
Rescale,Rescale ScaleX Government,Agency,No,,Department of Energy,,The Cadence Group
Akamai,Content Delivery Services,JAB,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
Autonomic Resources a wholly-owned subsidiary of CSRA LLC,CSRA / ARC-P Cloud,JAB,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
Oracle,Federal Managed Cloud Services,JAB,Yes,,Department of Health and Human Services,,
Appian,Appian Cloud,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Appian,Appian Cloud,Agency,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
IBM,MaaS360 Enterprise Mobility Management,JAB,Yes,,Department of Health and Human Services,Food and Drug Administration,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of Health and Human Services,Agency for Healthcare Research and Quality,
Amazon,AWS GovCloud,JAB,Yes,,Department of Health and Human Services,,
Amazon,AWS GovCloud,JAB,Yes,,Department of Health and Human Services,National Institutes of Health,
Amazon,AWS GovCloud,JAB,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
Amazon,AWS GovCloud,JAB,Yes,,Department of Health and Human Services,Food and Drug Administration,
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
Salesforce,Salesforce Government Cloud,Agency,No,07/06/2017,Department of Health and Human Services,,"Coalfire Systems, Inc."
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
"Druva, Inc.",Druva inSync,Agency,No,10/16/2017,Department of Health and Human Services,,"Coalfire Systems, Inc."
Amazon,AWS US East/West,JAB,Yes,,Department of Health and Human Services,Health Resources and Services Administration,
Amazon,AWS US East/West,JAB,Yes,,Department of Health and Human Services,Food and Drug Administration,
Amazon,AWS US East/West,JAB,Yes,,Department of Health and Human Services,National Institutes of Health,
Amazon,AWS US East/West,JAB,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Amazon,AWS US East/West,JAB,Yes,,Department of Health and Human Services,,
Amazon,AWS US East/West,JAB,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
IdeaScale,IdeaScale Gov,Agency,No,02/12/2018,Department of Health and Human Services,,The Cadence Group
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,No,04/30/2018,Department of Health and Human Services,,"Coalfire Systems, Inc."
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Avue Technologies,Avue Digital Services,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Esri,ArcGIS Online (AGO),Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Qualtrics,Qualtrics XM Platform,Agency,No,06/20/2018,Department of Health and Human Services,,"Schellman & Company, LLC"
"CrowdStrike, Inc.",Falcon Platform,Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
NetComm,Beacon,Agency,No,09/18/2018,Department of Health and Human Services,,"Coalfire Systems, Inc."
"DNAnexus, Inc.",DNAnexus Platform,Agency,No,06/18/2018,Department of Health and Human Services,,"Schellman & Company, LLC"
"DNAnexus, Inc.",DNAnexus Platform,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Acquia Inc.,Acquia Cloud,Agency,Yes,,Department of Health and Human Services,National Institutes of Health,
Qualys,Qualys Cloud Platform,Agency,No,01/17/2018,Department of Health and Human Services,,"Coalfire Systems, Inc."
REAN Cloud Inc.,American Heart Association Precision Medicine Platform (AHA-PMP),Agency,No,07/23/2018,Department of Health and Human Services,,"NCC Group Security Services, Inc."
GitHub,GitHub Enterprise Cloud,Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
"Saviynt, Inc.",Saviynt Security Manager,Agency,No,12/07/2018,Department of Health and Human Services,,"Coalfire Systems, Inc."
IT-CNP,GovDataHosting Cloud Platform,JAB,Yes,,Department of Health and Human Services,,
IT-CNP,GovDataHosting Cloud Platform,JAB,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
MAXIMUS Inc.,MAXIMUS Intelligent Assistant (MIA),Agency,No,10/31/2018,Department of Health and Human Services,,"Coalfire Systems, Inc."
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
CFI Group,Customer Feedback Management System (CFMS),Agency,No,11/30/2018,Department of Health and Human Services,,"Dakota Consulting, Inc."
Adobe,Adobe Connect Managed Services (ACMS-GC),JAB,Yes,,Department of Health and Human Services,,
Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),JAB,Yes,,Department of Health and Human Services,,
Zimperium,Zimperium Mobile Endpoint Cyber Security,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Broadcom,General Support Systems (GSS),Agency,No,04/16/2019,Department of Health and Human Services,,"Schellman & Company, LLC"
Broadcom,Clarity PPM,Agency,No,04/16/2019,Department of Health and Human Services,,"Schellman & Company, LLC"
Cisco Systems Inc.,Cisco WebEx,Agency,No,07/09/2019,Department of Health and Human Services,,Kratos
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
"CoSo Cloud, LLC.",CoSo Cloud FedRAMP Managed Service Platform,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Smartsheet,Smartsheet Gov,JAB,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Health and Human Services,Food and Drug Administration,
Adobe,Adobe Campaign,Agency,No,08/09/2019,Department of Health and Human Services,,"Coalfire Systems, Inc."
Ex Libris,"Higher-Ed Platform (Alma, Primo, Leganto, Esploro)",Agency,No,08/30/2019,Department of Health and Human Services,,"Lunarline, Inc."
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Adobe,Adobe Analytics,Agency,No,08/09/2019,Department of Health and Human Services,,"Coalfire Systems, Inc."
Netskope,Netskope OneCloud Government,Agency,No,08/01/2019,Department of Health and Human Services,,Kratos
United States Department of Agriculture,USDA Digital Infrastructure Services Center,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Palantir Technologies Inc.,Palantir Federal Cloud Service,Agency,No,09/26/2019,Department of Health and Human Services,,"Schellman & Company, LLC"
Palantir Technologies Inc.,Palantir Federal Cloud Service,Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
eTRANSERVICES,"Universal Design Platform as a Service (UDPaaS), powered by ORockCloud",Agency,No,02/25/2020,Department of Health and Human Services,,"Schellman & Company, LLC"
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Health and Human Services,Administration for Children & Families,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Health and Human Services,Food and Drug Administration,
McAfee,MVISION Cloud,JAB,Yes,,Department of Health and Human Services,Food and Drug Administration,
Slack Technologies,Slack,Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
AppDynamics (a Cisco company),AppDynamics GovAPM,Agency,No,04/27/2020,Department of Health and Human Services,,"Schellman & Company, LLC"
Cisco Systems Inc.,Cisco Unified Communications Manager Cloud for Government (Cisco UCM Cloud for Government),Agency,No,06/15/2020,Department of Health and Human Services,,Kratos
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,Yes,,Department of Health and Human Services,,
Snowflake Inc.,The Snowflake Service on AWS,Agency,No,05/01/2020,Department of Health and Human Services,,"A-LIGN Compliance and Security, Inc. dba A-LIGN"
Snowflake Inc.,The Snowflake Service on Azure Government,Agency,No,05/01/2020,Department of Health and Human Services,,"A-LIGN Compliance and Security, Inc. dba A-LIGN"
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Department of Health and Human Services,Food and Drug Administration,
Decision Lens Inc.,Decision Lens Software,Agency,No,04/10/2020,Department of Health and Human Services,,Kratos
"Canon U.S.A., Inc.",Canon Office Cloud,Agency,No,07/16/2020,Department of Health and Human Services,,Kratos
Cisco Systems Inc.,Cisco Webex Collaboration for U.S. Government,Agency,No,04/22/2020,Department of Health and Human Services,,Kratos
"Broad Institute, Inc.",Terra,Agency,No,,Department of Health and Human Services,,"Coalfire Systems, Inc."
Check Point Software,SandBlast,Agency,No,,Department of Health and Human Services,,Kratos
Cisco Systems Inc.,SD-WAN for Government,Agency,No,,Department of Health and Human Services,,Kratos
Cofense,Cofense PhishMe,Agency,No,,Department of Health and Human Services,,"Coalfire Systems, Inc."
DLH Corporation,DLH Infinibyte Cloud,Agency,No,,Department of Health and Human Services,,"Coalfire Systems, Inc."
Akamai,Content Delivery Services,JAB,Yes,,Department of Homeland Security,,
CGI Federal,CGI IaaS Cloud,JAB,Yes,,Department of Homeland Security,,
CGI Federal,CGI IaaS Cloud,JAB,Yes,,Department of Homeland Security,,
CGI Federal,CGI IaaS Cloud,JAB,Yes,,Department of Homeland Security,,
CGI Federal,CGI IaaS Cloud,JAB,Yes,,Department of Homeland Security,,
CGI Federal,CGI IaaS Cloud,JAB,Yes,,Department of Homeland Security,Immigration and Customs Enforcement,
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,Yes,,Department of Homeland Security,,
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,Department of Homeland Security,United States Coast Guard,
MicroFocus,Fortify on Demand,JAB,Yes,,Department of Homeland Security,,
MicroPact,MicroPact Product Suite,Agency,Yes,,Department of Homeland Security,Customs and Border Protection,
Oracle,Oracle Service Cloud,JAB,Yes,,Department of Homeland Security,Customs and Border Protection,
GDT,GDT Government Cloud,JAB,Yes,,Department of Homeland Security,,
Amazon,AWS GovCloud,JAB,Yes,,Department of Homeland Security,Federal Law Enforcement Training Centers,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Homeland Security,United States Citizenship and Immigration Services,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Homeland Security,Customs and Border Protection,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Homeland Security,Transportation Security Administration,
SAP National Security Services Inc. (SAP NS2),SAP NS2 Cloud Intelligent Enterprise,JAB,Yes,,Department of Homeland Security,Transportation Security Administration,
Amazon,AWS US East/West,JAB,Yes,,Department of Homeland Security,Customs and Border Protection,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Homeland Security,,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Homeland Security,Customs and Border Protection,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Homeland Security,Transportation Security Administration,
Knight Point Systems,CloudSeed,Agency,No,05/22/2018,Department of Homeland Security,,"Coalfire Systems, Inc."
Intelliworx,Intelliworx Cloud Workflow Platform,Agency,Yes,,Department of Homeland Security,Immigration and Customs Enforcement,
IBM,IBM Maximo and TRIRIGA on Cloud for U.S. Federal,Agency,No,12/11/2018,Department of Homeland Security,,"Coalfire Systems, Inc."
Axon,Axon Evidence.com,JAB,Yes,,Department of Homeland Security,Immigration and Customs Enforcement,
"Zoom Video Communications, LLC",Zoom for Government,Agency,No,02/13/2019,Department of Homeland Security,,"Schellman & Company, LLC"
"Envisage Technologies, LLC",Acadis Readiness Suite,Agency,Yes,,Department of Homeland Security,,
Zimperium,Zimperium Mobile Endpoint Cyber Security,Agency,No,03/12/2019,Department of Homeland Security,,Kratos
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Homeland Security,Customs and Border Protection,
Cisco Systems Inc.,Cisco WebEx,Agency,Yes,,Department of Homeland Security,United States Citizenship and Immigration Services,
"CoSo Cloud, LLC.",CoSo Cloud FedRAMP Managed Service Platform,Agency,No,02/01/2019,Department of Homeland Security,,"Coalfire Systems, Inc."
"CoSo Cloud, LLC.",CoSo Cloud FedRAMP Managed Service Platform,Agency,Yes,,Department of Homeland Security,Transportation Security Administration,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Homeland Security,United States Citizenship and Immigration Services,
Splunk,Splunk Cloud,Agency,Yes,,Department of Homeland Security,Customs and Border Protection,
