" Cloud Service Provider"," Cloud Service Offering"," Type"," Service Model"," Leveraged A T O"," Authorization Date"," Announcement Date"," Agency"," Subagency"," Independent Assessor"," Package Id"
Avue Technologies,Avue Digital Services,Agency,SaaS,Yes,,,United States Agency for Global Media,,,F1206191394
Axon,US Axon FedCloud,JAB,SaaS,No,04/02/2019,04/02/2019,JAB Authorization,,"Coalfire Systems, Inc.",FR1703752011
Axon,US Axon FedCloud,JAB,SaaS,Yes,,,Department of Agriculture,United States Forest Service,,FR1703752011
Axon,US Axon FedCloud,JAB,SaaS,Yes,,,Department of Homeland Security,Immigration and Customs Enforcement,,FR1703752011
Axon,US Axon FedCloud,JAB,SaaS,Yes,,,Department of Justice,Executive Office for United States Attorneys,,FR1703752011
Axon,US Axon FedCloud,JAB,SaaS,Yes,,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,FR1703752011
Axon,US Axon FedCloud,JAB,SaaS,Yes,,,Department of Justice,United States Marshals Service,,FR1703752011
"Axway, Inc.",Syncplicity Federal Government,,SaaS,No,,,,,"Schellman & Company, LLC",FR1727552755
"Bitglass, Inc.",Bitglass CASB,Agency,SaaS,No,09/01/2020,11/23/2020,Department of Transportation,,"Coalfire Systems, Inc.",FR1932554201
Bizagi Corp.,Bizagi Cloud for US Government,Agency,PaaS,No,03/17/2020,07/15/2020,Federal Communications Commission,,Kratos,FR1918442180
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,SaaS,No,03/03/2020,03/10/2017,Department of Transportation,,Kratos,F1302271924
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,SaaS,Yes,,,Department of Justice,Justice Management Division,,F1302271924
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,SaaS,Yes,,,Department of the Treasury,Internal Revenue Service,,F1302271924
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,SaaS,Yes,,,Department of the Treasury,,,F1302271924
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,SaaS,Yes,,,Department of Homeland Security,,,F1302271924
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,SaaS,Yes,,,United States Agency for International Development,,,F1302271924
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,SaaS,Yes,,,Surface Transportation Board,,,F1302271924
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,SaaS,Yes,,,Department of Homeland Security,Transportation Security Administration,,F1302271924
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Kansas City Field Office,,F1302271924
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,SaaS,Yes,,,Department of Veterans Affairs,,,F1302271924
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,SaaS,Yes,,,Department of Health and Human Services,,,F1302271924
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,SaaS,Yes,,,Federal Trade Commission,,,F1302271924
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Nevada Field Office,,F1302271924
BlackBerry,BlackBerry Cloud - AtHoc Services for Government,Agency,SaaS,Yes,,,Department of Energy,,,F1302271924
BlackBerry,BlackBerry Government Mobility Suite,Agency,SaaS,No,01/14/2020,04/30/2020,Department of Homeland Security,,Kratos,FR1921944861
BlackBerry,BlackBerry Protect,Agency,SaaS,No,04/20/2018,06/26/2017,Office of Personnel Management,,Booz Allen Hamilton,F1602167854
BlackBerry,BlackBerry Protect,Agency,SaaS,Yes,,,Consumer Financial Protection Bureau,,,F1602167854
BlackBerry,BlackBerry Protect,Agency,SaaS,Yes,,,National Science Foundation,,,F1602167854
Blackboard,Blackboard Learn SaaS,Agency,SaaS,No,09/15/2020,04/21/2020,Department of Defense,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",F1506076709
Blackboard,Blackboard Learn SaaS,Agency,SaaS,Yes,,,Department of Labor,,,F1506076709
"BlackLine, Inc.",BlackLine Gov,,SaaS,No,,,,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR2023547968
BMC Software,BMC Helix,Agency,SaaS,No,09/25/2018,05/05/2016,Department of Agriculture,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",F1510057481
BMC Software,BMC Helix,Agency,SaaS,Yes,,,Department of Agriculture,United States Forest Service,,F1510057481
BMC Software,BMC Helix,Agency,SaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1510057481
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,No,09/12/2019,04/25/2016,Department of Defense,,"Schellman & Company, LLC",F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of Justice,,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of Commerce,National Institute of Standards and Technology,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of Agriculture,United States Forest Service,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Federal Communications Commission,,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of the Treasury,,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of Justice,Executive Office for United States Attorneys,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Nuclear Regulatory Commission,,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of Health and Human Services,Centers for Disease Control and Prevention,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,United States International Trade Commission,,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of Energy,,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of the Treasury,Internal Revenue Service,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of Commerce,FirstNet,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Small Business Administration,,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of Veterans Affairs,,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Nevada Field Office,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of the Treasury,Bureau of Engraving and Printing,,F1212191840
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,SaaS,Yes,,,Department of Labor,,,F1212191840
"Broad Institute, Inc.",Terra,Agency,PaaS,No,,,Department of Health and Human Services,,"Coalfire Systems, Inc.",FR2000939520
Broadcom,Clarity PPM,Agency,SaaS,No,04/16/2019,07/09/2019,Department of Health and Human Services,,"Schellman & Company, LLC",FR1722532017
Broadcom,Clarity PPM,Agency,SaaS,Yes,,,Department of Homeland Security,Customs and Border Protection,,FR1722532017
Broadcom,General Support Systems (GSS),Agency,PaaS,No,04/16/2019,07/09/2019,Department of Health and Human Services,,"Schellman & Company, LLC",FR1722462413
"Canon U.S.A., Inc.",Canon Office Cloud,Agency,SaaS,No,07/16/2020,09/04/2020,Department of Health and Human Services,,Kratos,FR1923039219
Casepoint,Casepoint Government,Agency,SaaS,No,04/09/2021,05/19/2020,United States Securities and Exchange Commission,,"Schellman & Company, LLC",FR2009476860
Centrify,Centrify Privileged Access Service,Agency,SaaS,No,,,U.S. International Development Finance Corporation,,"Coalfire Systems, Inc.",F1606177905
CFI Group,Customer Feedback Management System (CFMS),Agency,SaaS,No,11/30/2018,05/31/2019,Department of Health and Human Services,,"Dakota Consulting, Inc.",F1609087941
CGI Federal,CGI IaaS Cloud,JAB,IaaS,No,01/31/2013,01/31/2013,JAB Authorization,,Kratos,F1206061350
CGI Federal,CGI IaaS Cloud,JAB,IaaS,Yes,,,Department of Homeland Security,,,F1206061350
CGI Federal,CGI IaaS Cloud,JAB,IaaS,Yes,,,Federal Trade Commission,,,F1206061350
CGI Federal,CGI IaaS Cloud,JAB,IaaS,Yes,,,Railroad Retirement Board,,,F1206061350
CGI Federal,CGI IaaS Cloud,JAB,IaaS,Yes,,,Administrative Office of the United States Courts,,,F1206061350
CGI Federal,CGI IaaS Cloud,JAB,IaaS,Yes,,,General Services Administration,,,F1206061350
CGI Federal,CGI IaaS Cloud,JAB,IaaS,Yes,,,Department of Homeland Security,,,F1206061350
CGI Federal,CGI IaaS Cloud,JAB,IaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1206061350
CGI Federal,CGI IaaS Cloud,JAB,IaaS,Yes,,,Department of Homeland Security,,,F1206061350
CGI Federal,CGI IaaS Cloud,JAB,IaaS,Yes,,,Department of Homeland Security,,,F1206061350
CGI Federal,CGI IaaS Cloud,JAB,IaaS,Yes,,,Department of Agriculture,,,F1206061350
CGI Federal,CGI IaaS Cloud,JAB,IaaS,Yes,,,United States Securities and Exchange Commission,,,F1206061350
CGI Federal,CGI IaaS Cloud,JAB,IaaS,Yes,,,Department of Homeland Security,Immigration and Customs Enforcement,,F1206061350
CGI Federal,Momentum® Enterprise Suite,Agency,SaaS,No,,,Department of Justice,,Kratos,FR2022242972
CGI Federal,Momentum® Enterprise Suite - JAB,JAB,SaaS,No,04/08/2021,04/26/2021,JAB Authorization,,Kratos,FR2022243058
CircleCI,CircleCI Cloud,Agency,SaaS,No,09/24/2018,09/26/2018,Small Business Administration,,The Cadence Group,FR1814240140
Cisco Systems Inc.,Cisco Advanced Malware Protection (AMP),,SaaS,No,,,,,Kratos,FR2013656943
Cisco Systems Inc.,"Cisco Broadsoft Government Cloud",Agency,SaaS,No,,,United States Senate,,Kratos,F1509107286
Cisco Systems Inc.,Cisco Cloudlock for Government,Agency,SaaS,No,11/14/2017,12/04/2017,General Services Administration,,Kratos SecureInfo,F1605107897
Cisco Systems Inc.,Cisco Unified Communications Manager Cloud for Government (Cisco UCM Cloud for Government),Agency,SaaS,No,06/15/2020,02/21/2017,Department of Health and Human Services,,Kratos,F1604017885
Cisco Systems Inc.,Cisco Unified Communications Manager Cloud for Government (Cisco UCM Cloud for Government),Agency,SaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,F1604017885
Cisco Systems Inc.,Cisco Unified Communications Manager Cloud for Government (Cisco UCM Cloud for Government),Agency,SaaS,Yes,,,Department of Agriculture,,,F1604017885
Cisco Systems Inc.,Cisco Unified Communications Manager Cloud for Government (Cisco UCM Cloud for Government),Agency,SaaS,Yes,,,Farm Credit Administration,,,F1604017885
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,No,07/09/2019,02/02/2016,Department of Health and Human Services,,Kratos,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Department of Homeland Security,Customs and Border Protection,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,National Science Foundation,,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Department of Homeland Security,United States Citizenship and Immigration Services,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Nuclear Regulatory Commission,,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,National Aeronautics and Space Administration,,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Department of Veterans Affairs,,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Department of Energy,,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Federal Trade Commission,,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Consumer Financial Protection Bureau,,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Department of Veterans Affairs,VA Office of the Inspector General,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Kansas City Field Office,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Farm Credit Administration,,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Department of Commerce,FirstNet,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,United States International Trade Commission,,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Department of Defense,Defense Counterintelligence and Security Agency,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Library of Congress,,,F1511207635
Cisco Systems Inc.,Cisco WebEx,Agency,SaaS,Yes,,,Department of Commerce,United States Census Bureau,,F1511207635
Cisco Systems Inc.,Webex for Government,Agency,SaaS,No,04/22/2020,09/15/2020,Department of Health and Human Services,,Kratos,FR1734755703
Cisco Systems Inc.,Webex for Government,Agency,SaaS,Yes,,,Federal Reserve System,,,FR1734755703
Citrix,Citrix Workspace,JAB,SaaS,No,,,JAB Authorization,,"Schellman & Company, LLC",FR1819254092
"Civis Analytics, Inc.",Civis Platform,Agency,SaaS,No,,,United States Agency for International Development,,"Schellman & Company, LLC",FR2014656304
"CloudCheckr, Inc.",CloudCheckr CMx Federal,,SaaS,No,,,,,Kratos,FR1902150768
Code42 Software Inc.,Incydr Gov,Agency,SaaS,No,09/28/2020,12/08/2020,Department of Energy,,Deloitte & Touche LLP,FR1910758409
Cofense,Cofense PhishMe,Agency,SaaS,No,10/02/2020,02/12/2021,Department of Health and Human Services,,"Coalfire Systems, Inc.",FR2013059515
Cofense,Cofense PhishMe,Agency,SaaS,Yes,,,Department of the Treasury,Alcohol and Tobacco Tax and Trade Bureau,,FR2013059515
"The Coleridge Initiative, Inc.",Administrative Data Research Facility (ADRF),Agency,SaaS,No,07/06/2020,09/12/2018,Department of Commerce,,"Lunarline, Inc.",FR1819057982
"The Coleridge Initiative, Inc.",Administrative Data Research Facility (ADRF),Agency,SaaS,Yes,,,Department of Agriculture,,,FR1819057982
"The Coleridge Initiative, Inc.",Administrative Data Research Facility (ADRF),Agency,SaaS,Yes,,,National Science Foundation,,,FR1819057982
Collab9,"Cloud Unified Communications, Contact Center and Collaboration",Agency,SaaS,No,,,Department of Homeland Security,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",F1404163859
Collibra,Data Governance Center,Agency,SaaS,No,09/12/2019,11/27/2019,Tennessee Valley Authority,,"Coalfire Systems, Inc.",FR1706403967
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,SaaS,No,07/19/2017,02/07/2018,Pension Benefit Guaranty Corporation,,"Schellman & Company, LLC",F1506246782
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,SaaS,Yes,,,Department of the Treasury,Office of the Comptroller of the Currency,,F1506246782
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,SaaS,Yes,,,Department of Commerce,,,F1506246782
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,SaaS,Yes,,,Farm Credit Administration,,,F1506246782
Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),Agency,SaaS,Yes,,,Federal Trade Commission,,,F1506246782
Contegix,SecureCloud,Agency,PaaS,No,03/26/2018,05/21/2015,Department of Energy,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR1833967442
Contegix,SecureCloud,Agency,PaaS,Yes,,,United States House of Representatives,,,FR1833967442
"Continuum GRC, Inc.",ITAM,Agency,SaaS,No,,,Small Business Administration,,"Earthling Security, LLC",FR1915750265
CORAS,CORAS Federal,JAB,SaaS,No,,,JAB Authorization,,"Coalfire Systems, Inc.",FR1722160191
Cority Software Inc.,"Cority Trusted Environmental, Health, Safety and Quality Management (EHSQ) Software",,SaaS,No,,,,,Kratos,FR2029183077
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,No,09/30/2020,02/02/2016,Department of the Treasury,,"Schellman & Company, LLC",F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,United States Securities and Exchange Commission,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Department of Commerce,United States Census Bureau,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,United States Postal Service,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,United States Agency for International Development,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Nuclear Regulatory Commission,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Department of Defense,Defense Acquisition University,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,United States House of Representatives,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Consumer Financial Protection Bureau,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Federal Trade Commission,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Department of Commerce,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Social Security Administration,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Small Business Administration,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,United States Capitol Police,,,F1509217359
Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),Agency,SaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,F1509217359
"CoSo Cloud, LLC.",CoSo Cloud FedRAMP Managed Service Platform,Agency,SaaS,No,02/01/2019,06/21/2017,Department of Homeland Security,,"Coalfire Systems, Inc.",F1206111371
"CoSo Cloud, LLC.",CoSo Cloud FedRAMP Managed Service Platform,Agency,SaaS,Yes,,,United States Agency for International Development,,,F1206111371
"CoSo Cloud, LLC.",CoSo Cloud FedRAMP Managed Service Platform,Agency,SaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,F1206111371
Coupa Software Inc,Coupa Spend Management for Federal,,SaaS,No,,,,,"Schellman & Company, LLC",F1308202329
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,No,08/02/2018,09/19/2018,Department of Commerce,,"Schellman & Company, LLC",FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Department of Health and Human Services,Centers for Disease Control and Prevention,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Tennessee Valley Authority,,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,,FR1807853629
"CrowdStrike, Inc.",Falcon Platform,Agency,SaaS,Yes,,,Department of Education,Federal Student Aid,,FR1807853629
CyLogic,CyCloud for VMware Cloud Foundation 4 (VCF4),,IaaS,No,,,,,"Coalfire Systems, Inc.",FR2108731521
Datadog,Datadog,Agency,SaaS,No,05/05/2020,05/14/2020,General Services Administration,,"Schellman & Company, LLC",FR1912658130
Datadog,Datadog for Government,Agency,SaaS,No,,,Department of Veterans Affairs,,"Schellman & Company, LLC",FR2023864279
Decision Lens Inc.,Decision Lens Software,Agency,SaaS,No,04/10/2020,12/21/2015,Department of Health and Human Services,,Kratos,F1507317125
Decision Lens Inc.,Decision Lens Software,Agency,SaaS,Yes,,,Department of the Interior,National Park Service,,F1507317125
Decision Lens Inc.,Decision Lens Software,Agency,SaaS,Yes,,,General Services Administration,,,F1507317125
Dell Boomi,AtomSphere,Agency,SaaS,No,06/11/2019,08/12/2019,United States Agency for International Development,,"Schellman & Company, LLC",FR1916254386
Deloitte,Deloitte Federal Technology Center,Agency,SaaS,No,12/13/2019,03/15/2016,Department of Labor,,"MindPoint Group, LLC",F1210161615
Deloitte,Deloitte Federal Technology Center,Agency,SaaS,Yes,,,Department of the Treasury,Internal Revenue Service,,F1210161615
Deloitte,Deloitte Federal Technology Center,Agency,SaaS,Yes,,,Pension Benefit Guaranty Corporation,,,F1210161615
DevResults,DevResults,Agency,SaaS,No,,,Department of State,,"Schellman & Company, LLC",FR2100845343
"Distributed Solutions, Inc.",AEON,Agency,SaaS,No,09/28/2018,04/08/2019,Department of Justice,,"Lunarline, Inc.",FR1805752046
"Distributed Solutions, Inc.",AEON,Agency,SaaS,Yes,,,Department of Energy,Federal Energy Regulatory Commission,,FR1805752046
"Distributed Solutions, Inc.",AEON,Agency,SaaS,Yes,,,Federal Election Commission,,,FR1805752046
"Distributed Solutions, Inc.",AEON,Agency,SaaS,Yes,,,Library of Congress,,,FR1805752046
DLH Corporation,DLH Infinibyte Cloud,Agency,PaaS,No,,,Department of Health and Human Services,,"Coalfire Systems, Inc.",FR2000951694
"DNAnexus, Inc.",DNAnexus Platform,Agency,PaaS,No,06/18/2018,10/15/2018,Department of Health and Human Services,,"Schellman & Company, LLC",FR1814557199
"DNAnexus, Inc.",DNAnexus Platform,Agency,PaaS,Yes,,,Department of Health and Human Services,Food and Drug Administration,,FR1814557199
DocuSign,DocuSign CLM (formerly SpringCM),Agency,SaaS,No,05/27/2020,08/24/2017,Department of Agriculture,,"Schellman & Company, LLC",F1605027893
DocuSign,DocuSign CLM (formerly SpringCM),Agency,SaaS,Yes,,,Department of Transportation,Federal Aviation Administration,,F1605027893
DocuSign,DocuSign CLM (formerly SpringCM),Agency,SaaS,Yes,,,Department of Veterans Affairs,,,F1605027893
DocuSign,DocuSign CLM (formerly SpringCM),Agency,SaaS,Yes,,,Department of the Interior,Bureau of Land Management,,F1605027893
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,No,07/14/2017,08/10/2017,Federal Communications Commission,,"Schellman & Company, LLC",F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Tennessee Valley Authority,,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Energy,National Nuclear Security Administration / Lawrence Livermore National Laboratory,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,General Services Administration,,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Education,Federal Student Aid,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of Veterans Affairs,,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1609267945
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,SaaS,Yes,,,Department of the Treasury,,,F1609267945
"Druva, Inc.",Druva inSync,Agency,SaaS,No,10/16/2017,10/18/2017,Department of Health and Human Services,,"Coalfire Systems, Inc.",F1507136931
"Druva, Inc.",Druva inSync,Agency,SaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1507136931
"Druva, Inc.",Druva inSync,Agency,SaaS,Yes,,,National Science Foundation,,,F1507136931
"Druva, Inc.",Druva inSync,Agency,SaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1507136931
"Druva, Inc.",Druva inSync,Agency,SaaS,Yes,,,Department of Transportation,Federal Aviation Administration,,F1507136931
"Druva, Inc.",Druva inSync,Agency,SaaS,Yes,,,Department of the Interior,United States Geological Survey,,F1507136931
"Druva, Inc.",Druva inSync,Agency,SaaS,Yes,,,Department of Veterans Affairs,VA Office of the Inspector General,,F1507136931
"Druva, Inc.",Druva inSync,Agency,SaaS,Yes,,,Council of the Inspectors General on Integrity and Efficiency,,,F1507136931
Duo Security (a Cisco Company),Duo Federal,Agency,SaaS,No,08/16/2019,11/15/2019,Department of Energy,,"Coalfire Systems, Inc.",FR1823149273
Duo Security (a Cisco Company),Duo Federal,Agency,SaaS,Yes,,,Federal Housing Finance Agency,FHFA Office of the Inspector General,,FR1823149273
Duo Security (a Cisco Company),Duo Federal,Agency,SaaS,Yes,,,United States Trade and Development Agency,,,FR1823149273
Duo Security (a Cisco Company),Duo Federal,Agency,SaaS,Yes,,,Farm Credit Administration,,,FR1823149273
Dynatrace LLC,Dynatrace for Government,Agency,SaaS,No,06/16/2020,07/27/2020,Federal Communications Commission,,"Schellman & Company, LLC",FR2016131254
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,SaaS,No,04/13/2021,05/01/2014,JAB Authorization,,SecureIT,F1301251880
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,SaaS,Yes,,,Environmental Protection Agency,,,F1301251880
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,SaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,F1301251880
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,SaaS,Yes,,,Department of Energy,,,F1301251880
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,SaaS,Yes,,,Department of Homeland Security,,,F1301251880
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,SaaS,Yes,,,Department of the Interior,,,F1301251880
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,SaaS,Yes,,,Department of the Treasury,Office of the Comptroller of the Currency,,F1301251880
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,SaaS,Yes,,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,F1301251880
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,SaaS,Yes,,,Federal Trade Commission,,,F1301251880
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,SaaS,Yes,,,Department of Transportation,Federal Aviation Administration,,F1301251880
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,SaaS,Yes,,,Surface Transportation Board,,,F1301251880
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,SaaS,Yes,,,Pension Benefit Guaranty Corporation,,,F1301251880
"Edge Hosting, A DataBank Company",FedRAMP Compliant CloudPlus,Agency,"IaaS, PaaS",No,05/29/2018,06/08/2018,Farm Credit Administration,,SecureIT,F1404304159
eGain Corporation,eGain Suite,Agency,SaaS,No,,,Department of the Treasury,,The Cadence Group,FR2023601671
